1/17/3 216172782113849352 10 9277626338615754752 6 8079492915874758656 3 871464120082235392 9 962877980672 8 1139111293353984 11 845528753504256 5 103214219264 7 3227533312 1 2207646876160 4 8421600 0 1062928 2 1287 
1/17/4 216172782113849360 1 8935141660703064064 9 31551585670660096 11 4223224162287616 8 9259612489862086656 10 6627134537728 0 35665945296896 7 34763177984 5 3225444352 6 117572096 4 8421600 3 3151880 2 1287 
1/17/5 216172782113849376 11 8649163084365037568 7 9286492800382140416 6 290205099035197440 0 4565240998002688 10 141565343301632 5 2259287015424 3 138245832704 9 1103857057792 8 2127872 4 67372800 2 12615872 1 31 
1/17/6 216172782113849408 9 4062246863888187392 6 296116073546121216 11 13871228139545296896 10 847727759982592 4 123421253959680 5 9037148061696 7 25971392512 3 270011392 2 50463488 8 2160099456 0 2125856 1 31 
1/17/7 216172782113849345 9 8077205931688984576 7 9286492800382140416 2 61744449847296 11 865821443588358144 10 847732054949888 8 141564277948416 6 70599573504 5 4412669952 4 134756352 3 6340736 1 124 0 132866 
1/18/1 216172782113914882 10 6949054225032675328 6 2019873228968689664 8 9259612489862086656 3 52879771566080 11 1693265153753088 9 284782135083008 7 415542280192 5 807428096 4 8421600 2 1576984 0 265732 1 4311810305 
1/18/2 216172782113914884 9 2019301482922246144 4 16177070599003176960 10 15788986974863360 5 289188737974272 8 18085592961122304 6 35425427128320 7 8825077760 0 272109568 11 2155905216 3 4218928 2 3594 1 4311810305 
1/18/3 216172782113914888 2 13871297958533660672 0 2337403390977376256 6 2019873228968689664 4 1974740063354880 9 826512769024 7 17832838430720 5 3307225481216 8 3936256 11 2155905216 3 4218928 10 3590 1 4311810305 
1/18/4 216172782113914896 9 8077205931688984576 6 9286563169126318080 7 866384376361910272 3 284799281397760 10 52983253434368 4 8830687641600 8 71194455834624 5 270271488 11 2155905216 0 2125856 2 2574 1 4311810305 
1/18/5 216172782113914912 0 2337403390977376256 6 2019873228968689664 11 13871228139545296896 4 1974740063354880 7 70784282263552 5 3307225481216 8 17661711876096 9 34494743552 10 8437952 3 6303760 2 2574 1 4311810305 
1/18/6 216172782113914944 8 17302829768357445632 9 54166340830756864 7 871455323989213184 4 1130418212438016 10 847732054949888 5 141700097900544 0 272109568 6 235144192 11 3229646976 3 4218928 2 2574 1 4311810305 
1/18/7 216172782113914881 11 8649163084365037568 7 9286492800382140416 5 290201800500314112 0 4565240998002688 6 141701708513280 3 6648743591936 9 1880621056 10 12935299072 8 2127872 4 67372800 2 12615872 1 62 
1/19/1 216172782114045954 9 2031123431944093696 4 16177070599003176960 10 1973623371857920 7 18120776259469312 0 2282620499001344 3 207773237248 6 470288384 11 25803489792 8 2155921536 5 3154016 2 5148 1 4311810305 
1/19/2 216172782114045956 8 4327959241903046656 10 13889241988298964992 9 3967037953015808 4 9042624144998400 5 289188737974272 7 71194988511232 6 8824946688 0 272109568 11 2155905216 3 4218928 2 3594 1 4311810305 
1/19/3 216172782114045960 9 2019301482922246144 10 6944585809777393664 8 9259612489862086656 5 6764247073685504 7 289180148039680 6 18073490817024 0 544219136 4 235012608 11 3229646976 2 20592 3 527366 1 4311810305 
1/19/4 216172782114045968 10 8097472130012151808 5 290201800500314112 8 9259612489862086656 9 583233812650000384 3 35599910174720 6 15410409766912 7 35300311040 11 8623621632 2 12615872 0 2125856 4 526350 1 4311810305 
1/19/5 216172782114045984 11 17329851366121668608 7 592240943185264640 0 18260963992010752 8 289369487377956864 10 847732054949888 5 553516007424 6 240787652608 4 235012608 2 12615872 9 28696 3 527366 1 4311810305 
1/19/6 216172782114046016 0 2337403390977376256 2 1731660445003022336 5 290201800500314112 11 13871228139545296896 9 6717328850944 7 70784282263552 6 940576768 8 8690729472 10 12632192 4 2105400 3 527366 1 4311810305 
1/19/7 216172782114045953 6 4039746457937379328 7 290202900011941888 11 13871228139545296896 5 27056988294742016 10 2265045492826112 9 70646851698688 8 1112413372416 2 806367232 4 235407360 3 6340736 1 124 0 132866 
1/2/1 216172790703718402 7 3485821295956852736 3 871464120082235392 10 1973623371857920 11 13871228139545296896 6 9036745408512 8 70646847504384 9 4415327174656 5 807428096 4 8421600 2 1576984 0 265732 1 4311810305 
1/2/2 216172790703718404 9 2019301482922246144 0 2337403390977376256 11 13871228139545296896 5 289188737974272 7 70784282263552 8 2278222586707968 3 69531074560 10 101580800 6 8446080 4 1052784 2 3594 1 4311810305 
1/2/3 216172790703718408 10 16194944260024303616 9 866661453292109824 3 1166537856605224960 11 2268292488101888 0 17832972648448 8 141564277948416 7 17415274496 5 1614856192 4 2105568 6 1055760 2 393734 1 4311810305 
1/2/4 216172790703718416 11 17329851366121668608 9 31736303624126464 5 866969316547887104 10 1973623371857920 8 35699768164352 6 4415461261312 7 553518104576 3 271605760 4 8421600 0 531464 2 393734 1 4311810305 
1/2/5 216172790703718432 4 4044267649750794240 5 296129267685654528 10 852121511526400 11 13871228139545296896 8 18085180644261888 3 8847733293056 0 69660049408 6 2162196480 9 28864 7 527384 2 393734 1 4311810305 
1/2/6 216172790703718464 7 9286492800382140416 4 8074971724061343744 10 1973623371857920 11 866951758721581056 3 141563732688896 6 4415461261312 9 35390800003072 8 2155921536 5 6299696 0 531464 2 393734 1 4311810305 
1/2/7 216172790703718401 9 2019301482922246144 10 2332970160094183424 11 13871228139545296896 5 6764247073685504 6 289175853072384 7 278644391936 8 17798613958656 2 117768192 4 134756352 3 6340736 1 124 0 132866 
1/20/1 216172782114308098 9 866661453292109824 2 6935648979266830336 7 1168692899395665920 11 9259542395995815936 10 7722351198208 8 17798613958656 5 34594750464 6 3762307072 4 8421600 3 2109464 0 265732 1 4311810305 
1/20/2 216172782114308100 11 4332462841530417152 10 13889171619554787328 0 4565240998002688 6 3945064900329472 9 284782135083008 8 141564277948416 7 139322195968 3 34561458176 5 2154624 4 1052784 2 3594 1 4311810305 
1/20/3 216172782114308104 4 16177070599003176960 7 1184481886370529280 5 290201800500314112 8 578725780616380416 0 71331890593792 6 17661845045248 10 2224893722624 9 3152896 11 2155905216 3 4218928 2 393734 1 4311810305 
1/20/4 216172782114308112 10 13889241988298964992 6 4039746457937379328 0 292175423872172032 3 9113577004728320 8 9053791059968 9 284782135083008 11 1008730112 5 3225444352 4 8421600 7 1055752 2 393734 1 4311810305 
1/20/5 216172782114308128 11 17298326168730075136 9 866661453292109824 4 63085716594229248 0 2282620499001344 5 211382721052672 7 3324338241536 6 69190287360 8 551915913216 3 2121920 10 7192 2 393734 1 4311810305 
1/20/6 216172782114308160 10 16194944260024303616 0 292175423872172032 6 9253627298316288 11 1733903517443162112 3 284799281397760 9 826512769024 4 8830687641600 8 2155921536 5 6299696 7 1055752 2 393734 1 4311810305 
1/20/7 216172782114308097 11 8649163084365037568 9 31551585670660096 10 289925823081742336 8 9259612489862086656 4 282604553109504 5 35425024475136 7 278644391936 2 117768192 6 269498368 3 6340736 1 124 0 132866 
1/21/1 216172782114832386 9 4062246863888187392 11 13871228139545296896 7 4565206638264320 8 291612491098619904 10 847732054949888 5 70850048950272 2 235536384 6 3762307072 4 8421600 3 2109464 0 265732 1 4311810305 
